ZIP,PARK,BASEBALL_J,BASEBALL_S,SUM
60609,BACK OF THE YARDS,0,0,
60624,TILTON (GEORGE),0,0,
60619,DOBSON,0,0,
60612,"TOUHY-HERBERT (JOHN, VICTOR)",1,0,
60623,LIMAS (JULIANN HOPE),0,0,
60617,VETERANS' MEMORIAL,4,0,
60609,WAGNER (CLARENCE),0,0,
60620,WALLACE,0,0,
60608,WASHTENAW,1,0,
60608,WILSON (JOHN),0,0,
60618,ELSTON (DANIEL),0,0,
60617,WOLFE (RICHARD),2,0,
60649,WOODHULL (ROSS),0,0,
60614,WRIGHTWOOD,1,0,
60626,LANGDON (MARY MARGARET),0,0,
60640,ANDERSONVILLE,0,0,
60617,KRAUSE (FRANCIS VERNON),0,0,
60621,EMERALD,0,0,
60633,WESOLEK (MARLENE),0,0,
60637,BIXLER (RAY),0,0,
60613,BUENA CIRCLE,0,0,
60640,CARMEN,0,0,
60621,CARPENTER (PHILO),0,0,
60624,CENTRAL,0,0,
60623,CHRISTIANA,0,0,
60659,KORCZAK (JANUSZ),0,0,
60614,CLYBOURN (ARCHIBALD),0,0,
60651,DAVIS (MARGARET),0,0,
60618,FELLGER (CHARLES),0,0,
60624,GLADYS (GUNDERSON),0,0,
60651,GRAND,0,0,
60651,HARDING (FREDERICK),0,0,
60613,ZATTERBERG (HELEN),0,0,
60623,HOMAN (JOSEPH),0,0,
60644,HUBBARD (GURDON),0,0,
60637,HANSBERRY (LORRAINE),0,0,
60653,JACKSON (ROBERT),0,0,
60616,JEFFERSON (THOMAS),0,0,
60623,KEELER (CYRUS),0,0,
60657,KENMORE,0,0,
60639,KEYSTONE,0,0,
60628,LANGLEY,0,0,
60630,THUIS (GRACE ZWIEFKA),0,0,
60623,LONDON (LOUIS),0,0,
60616,HUMBERT (JAMES),0,0,
60617,LUELLA,0,0,
60645,"LUNT (ORRINGTON, STEPHEN)",0,0,
60613,MERRYMAN (THERON),0,0,
60617,MERRILL (GEORGE),1,0,
60623,MILLARD (ALDEN),0,0,
60607,MILLER (SAMUEL),0,0,
60629,MONTGOMERY (MABEL),0,0,
60647,MONTICELLO,0,0,
60643,MORGAN (THOMAS LEEDS) FIELD,0,0,
60618,NELSON (ANDREW),0,0,
60657,WEISMAN (ALBERT),0,0,
60636,OAKLEY,0,0,
60624,OHIO & HARDING,0,0,
60644,OHIO,0,0,
60646,BRYNFORD,0,0,
60614,SUPERA (LOUIS),0,0,
60657,WENDT (KENNETH),0,0,
60618,SACRAMENTO,1,0,
60614,SCHAEFER (EDWARD),0,0,
60624,SAINT LOUIS,0,0,
60612,SUPERIOR,0,0,
60656,SUMMERDALE,0,0,
60637,TILL-MOBLEY (MAMIE),0,0,
60616,SINTIC (GREGORY),0,0,
60609,MCKEON (JOSEPH),0,0,
60624,MASON (ELIZABETH),0,0,
60622,WESTERN,0,0,
60614,PARK WEST,0,0,
60619,ADAMS (JOHN C.),0,0,
60611,CONNORS (WILLIAM),0,0,
60628,ARCADE,0,0,
60620,AUBURN,0,0,
